electkwh,heatingkwh,hotwaterkwh,PV_generation,Temperature,month,day,hour,nday,hour_cos,hour_sin,month_cos,month_sin,summer,winter
0.21046,4.888735,0.0,0.0,-3.065,1,12,4,269,0.4600650377311522,0.8878852184023752,0.8660254037844387,0.49999999999999994,0,1
0.239135,2.464939,0.502294,0.0,-3.721,1,12,5,270,0.20345601305263397,0.9790840876823228,0.8660254037844387,0.49999999999999994,0,1
0.344273,4.888735,2.108254,0.0,-4.473,1,12,6,271,-0.06824241336467088,0.9976687691905392,0.8660254037844387,0.49999999999999994,0,1
0.393835,2.464939,0.124985,0.249,-5.159,1,12,7,272,-0.33487961217098616,0.9422609221188205,0.8660254037844387,0.49999999999999994,0,1
0.405839,3.676837,0.319677,2.754,-5.471,1,12,8,273,-0.5766803221148671,0.8169698930104421,0.8660254037844387,0.49999999999999994,0,1
0.411284,2.464939,0.0,6.681,-5.605,1,12,9,274,-0.7757112907044199,0.6310879443260526,0.8660254037844387,0.49999999999999994,0,1
0.399042,3.676837,0.0,8.331,-5.607,1,12,10,275,-0.9172113015054528,0.3984010898462418,0.8660254037844387,0.49999999999999994,0,1
0.412678,1.25304,1.330824,9.041,-5.492,1,12,11,276,-0.9906859460363308,0.13616664909624665,0.8660254037844387,0.49999999999999994,0,1
0.427354,1.25304,0.429285,8.903,-5.37,1,12,12,277,-0.9906859460363308,-0.1361666490962464,0.8660254037844387,0.49999999999999994,0,1
0.410142,3.676837,0.0,7.951,-5.345,1,12,13,278,-0.9172113015054532,-0.3984010898462412,0.8660254037844387,0.49999999999999994,0,1
0.423449,2.458231,2.404579,5.202,-5.436,1,12,14,279,-0.7757112907044198,-0.6310879443260528,0.8660254037844387,0.49999999999999994,0,1
0.423431,0.041142,1.533218,1.789,-5.71,1,12,15,280,-0.5766803221148672,-0.816969893010442,0.8660254037844387,0.49999999999999994,0,1
0.532154,4.888735,0.0,0.036,-6.21,1,12,16,281,-0.3348796121709864,-0.9422609221188204,0.8660254037844387,0.49999999999999994,0,1
0.705264,6.100633,0.459403,0.0,-6.299,1,12,17,282,-0.06824241336467135,-0.9976687691905392,0.8660254037844387,0.49999999999999994,0,1
0.67091,3.074316,0.0,0.0,-5.893,1,12,18,283,0.20345601305263417,-0.9790840876823228,0.8660254037844387,0.49999999999999994,0,1
0.557523,4.279357,0.217689,0.0,-5.395,1,12,19,284,0.46006503773115237,-0.8878852184023751,0.8660254037844387,0.49999999999999994,0,1
0.469176,4.888735,0.276155,0.0,-5.194,1,12,20,285,0.6825531432186536,-0.7308359642781246,0.8660254037844387,0.49999999999999994,0,1
0.40841,7.312532,0.0,0.0,-5.291,1,12,21,286,0.8544194045464881,-0.5195839500354343,0.8660254037844387,0.49999999999999994,0,1
0.354601,7.312532,0.0,0.0,-5.605,1,12,22,287,0.9629172873477992,-0.2697967711570244,0.8660254037844387,0.49999999999999994,0,1
0.276284,3.676837,0.392332,0.0,-6.304,1,12,23,288,1.0,-2.4492935982947064e-16,0.8660254037844387,0.49999999999999994,0,1
0.241389,1.25304,0.0,0.0,-6.97,1,13,0,289,1.0,0.0,0.8660254037844387,0.49999999999999994,0,1
0.22142,0.041142,0.0,0.0,-7.748,1,13,1,290,0.9629172873477994,0.2697967711570243,0.8660254037844387,0.49999999999999994,0,1
0.206539,4.888735,0.0,0.0,-8.778,1,13,2,291,0.8544194045464886,0.5195839500354336,0.8660254037844387,0.49999999999999994,0,1
0.200706,6.100633,0.0,0.0,-9.701,1,13,3,292,0.6825531432186541,0.730835964278124,0.8660254037844387,0.49999999999999994,0,1
0.21046,4.888735,0.0,0.0,-10.272,1,13,4,293,0.4600650377311522,0.8878852184023752,0.8660254037844387,0.49999999999999994,0,1
0.239135,3.676837,0.0,0.0,-10.645,1,13,5,294,0.20345601305263397,0.9790840876823228,0.8660254037844387,0.49999999999999994,0,1
0.344273,7.312532,0.593243,0.0,-10.979,1,13,6,295,-0.06824241336467088,0.9976687691905392,0.8660254037844387,0.49999999999999994,0,1
0.482796,2.464939,0.0,1.296,-11.221,1,13,7,296,-0.33487961217098616,0.9422609221188205,0.8660254037844387,0.49999999999999994,0,1
0.405839,1.256468,0.401112,5.223,-10.291,1,13,8,297,-0.5766803221148671,0.8169698930104421,0.8660254037844387,0.49999999999999994,0,1
0.411284,3.274013,0.0,7.465,-8.146,1,13,9,298,-0.7757112907044199,0.6310879443260526,0.8660254037844387,0.49999999999999994,0,1
0.463085,2.665779,0.0,8.807,-7.159,1,13,10,299,-0.9172113015054528,0.3984010898462418,0.8660254037844387,0.49999999999999994,0,1
0.412678,1.858989,0.437867,9.373,-6.762,1,13,11,300,-0.9906859460363308,0.13616664909624665,0.8660254037844387,0.49999999999999994,0,1
0.427354,2.4585,0.0,9.176,-6.46,1,13,12,301,-0.9906859460363308,-0.1361666490962464,0.8660254037844387,0.49999999999999994,0,1
0.410142,1.25304,0.0,8.24,-6.331,1,13,13,302,-0.9172113015054532,-0.3984010898462412,0.8660254037844387,0.49999999999999994,0,1
0.423449,1.249611,0.0,6.444,-6.413,1,13,14,303,-0.7757112907044198,-0.6310879443260528,0.8660254037844387,0.49999999999999994,0,1
0.423431,3.074316,0.0,3.558,-7.011,1,13,15,304,-0.5766803221148672,-0.816969893010442,0.8660254037844387,0.49999999999999994,0,1
0.532154,2.46151,0.0,0.204,-8.144,1,13,16,305,-0.3348796121709864,-0.9422609221188204,0.8660254037844387,0.49999999999999994,0,1
0.705264,3.676837,0.433664,0.0,-8.89,1,13,17,306,-0.06824241336467135,-0.9976687691905392,0.8660254037844387,0.49999999999999994,0,1
0.67091,3.676837,0.0,0.0,-9.229,1,13,18,307,0.20345601305263417,-0.9790840876823228,0.8660254037844387,0.49999999999999994,0,1
0.557523,3.676837,0.0,0.0,-9.318,1,13,19,308,0.46006503773115237,-0.8878852184023751,0.8660254037844387,0.49999999999999994,0,1
0.577105,3.676837,0.567967,0.0,-9.452,1,13,20,309,0.6825531432186536,-0.7308359642781246,0.8660254037844387,0.49999999999999994,0,1
0.40841,4.888735,0.0,0.0,-9.872,1,13,21,310,0.8544194045464881,-0.5195839500354343,0.8660254037844387,0.49999999999999994,0,1
0.354601,4.888735,0.0,0.0,-10.482,1,13,22,311,0.9629172873477992,-0.2697967711570244,0.8660254037844387,0.49999999999999994,0,1
0.276284,4.888735,1.296695,0.0,-11.114,1,13,23,312,1.0,-2.4492935982947064e-16,0.8660254037844387,0.49999999999999994,0,1
0.241389,6.100633,2.34585,0.0,-11.55,1,14,0,313,1.0,0.0,0.8660254037844387,0.49999999999999994,0,1
0.22142,7.312532,0.0,0.0,-11.785,1,14,1,314,0.9629172873477994,0.2697967711570243,0.8660254037844387,0.49999999999999994,0,1
0.206539,4.888735,0.0,0.0,-11.976,1,14,2,315,0.8544194045464886,0.5195839500354336,0.8660254037844387,0.49999999999999994,0,1
0.200706,4.888735,0.0,0.0,-12.144,1,14,3,316,0.6825531432186541,0.730835964278124,0.8660254037844387,0.49999999999999994,0,1
0.21046,4.888735,0.0,0.0,-12.287,1,14,4,317,0.4600650377311522,0.8878852184023752,0.8660254037844387,0.49999999999999994,0,1
0.239135,3.676837,4.087163,0.0,-12.41,1,14,5,318,0.20345601305263397,0.9790840876823228,0.8660254037844387,0.49999999999999994,0,1
0.344273,3.676837,3.534128,0.0,-12.531,1,14,6,319,-0.06824241336467088,0.9976687691905392,0.8660254037844387,0.49999999999999994,0,1
0.393835,4.888735,0.951052,0.319,-12.517,1,14,7,320,-0.33487961217098616,0.9422609221188205,0.8660254037844387,0.49999999999999994,0,1
0.405839,4.888735,0.365359,2.192,-11.459,1,14,8,321,-0.5766803221148671,0.8169698930104421,0.8660254037844387,0.49999999999999994,0,1
