time,NUM_EP,L1,L2,BATCH_SIZE,MEM_SIZE,MIN_EXP_SIZE,season,case,idx,T_FH_plus,T_FH_minus,V_HW_plus,V_HW_minus,profits,comfort,abort
2021-06-08T15:44:37.02,10001,300,600,120,24000,24000,winter,winter_no-L2_nns_abort_step-48,10001,12.94744909,83.19462654,0.0,0.0,-169.8957955,-96.14207563,0.0
2021-06-08T15:44:10.926,10001,400,300,64,24000,24000,summer,summer_no-L2_nns_abort_batch-64,4601,0.0,0.0,0.0,0.0,65.07150753,0.0,0.0
2021-06-08T15:44:08.103,10001,400,300,64,24000,24000,summer,summer_no-L2_nns_abort_batch-64,10001,0.0,0.0,0.0,0.0,56.83510716,0.0,0.0
2021-06-08T15:41:37.851,10001,300,600,64,24000,24000,winter,winter_no-L2_nns_abort_batch-64,4301,1.699473297,0.0,0.0,0.0,-59.92676409,-1.699473297,0.0
2021-06-08T15:41:35.36,10001,300,600,64,24000,24000,winter,winter_no-L2_nns_abort_batch-64,10001,23.21672488,20.64301502,0.0,0.0,-99.15291363,-43.85973989,0.0
2021-06-08T15:40:51.901,10001,400,300,120,24000,24000,summer,summer_no-L2_nns_abort_step-48,3901,0.0,0.0,0.0,0.0,56.89164691,0.0,0.0
2021-06-08T15:40:49.189,10001,400,300,120,24000,24000,summer,summer_no-L2_nns_abort_step-48,10001,112.3187981,0.0,0.0,46.00703544,-151.9962231,-158.3258336,0.0
2021-06-08T15:39:14.253,10001,300,600,120,24000,12000,summer,summer_no-L2_nns_abort_mem-24-12T,3001,0.0,0.0,0.0,0.0,65.04221165,0.0,0.0
2021-06-08T15:39:11.749,10001,300,600,120,24000,12000,summer,summer_no-L2_nns_abort_mem-24-12T,10001,0.0,0.0,0.0,0.0,64.41707455,0.0,0.0
2021-06-08T15:33:09.31,10001,400,300,120,24000,12000,summer,summer_no-L2_nns_abort_mem-24-12T,7101,0.0,0.0,0.0,0.0,57.69173103,0.0,0.0
2021-06-08T15:33:06.917,10001,400,300,120,24000,12000,summer,summer_no-L2_nns_abort_mem-24-12T,10001,70.75198497,0.0,4.767588259,0.238179307,-19.27784614,-75.75775253,0.0
