time,NUM_EP,L1,L2,BATCH_SIZE,MEM_SIZE,MIN_EXP_SIZE,season,run,case,idx,T_FH_plus,T_FH_minus,V_HW_plus,V_HW_minus,profits,comfort,abort,Reward
2021-06-26T15:43:37.616,10001,400,300,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort_no-period-h_sigm-4-0.01_fh-hw,8201,,,,,,,,0
2021-06-26T15:43:34.309,10001,400,300,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort_no-period-h_sigm-4-0.01_fh-hw,10001,,,,,,,,0
2021-06-26T15:38:07.751,10001,300,600,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort_no-period-h_sigm-4-0.01_fh-hw,8601,,,,,,,,0
2021-06-26T15:38:04.692,10001,300,600,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort_no-period-h_sigm-4-0.01_fh-hw,10001,,,,,,,,0
2021-06-26T14:10:48.071,10001,400,300,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort_no-period-h_sigm-4-0.01,9401,0,0,0,0,-67.41658149,0,0,-67.41658149
2021-06-26T14:10:45.241,10001,400,300,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort_no-period-h_sigm-4-0.01,10001,0,0,0,0,-76.03174862,0,0,-76.03174862
2021-06-26T14:05:29.156,10001,400,300,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort_no-period-h_sigm-4-0.01,3101,0,0,0,0,62.74212596,0,0,62.74212596
2021-06-26T14:05:26.623,10001,400,300,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort_no-period-h_sigm-4-0.01,10001,0,0,0,0,55.99155482,0,0,55.99155482
2021-06-26T13:54:53.348,10001,300,600,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort_no-period-h_sigm-4-0.01,10001,1.324304064,0,0,0.508008567,-65.09136112,-1.832312631,0,-63.25904849
2021-06-26T13:54:50.493,10001,300,600,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort_no-period-h_sigm-4-0.01,10001,1.324304064,0,0,0.508008567,-65.09136112,-1.832312631,0,-63.25904849
2021-06-26T13:45:47.192,10001,300,600,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort_no-period-h_sigm-4-0.01,9901,0,0,0,0,60.92523451,0,0,60.92523451
2021-06-26T13:45:44.284,10001,300,600,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort_no-period-h_sigm-4-0.01,10001,82.11869032,0,0,0,-20.98731002,-82.11869032,0,61.13138031
2021-06-26T13:03:02.832,10001,400,300,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort_no-period-h_sigm-4,7101,0,0,0,0,63.302901,0,0,63.302901
2021-06-26T13:02:59.707,10001,400,300,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort_no-period-h_sigm-4,10001,542.9410566,0,0,0,-489.3890796,-542.9410566,0,53.55197698
2021-06-26T12:50:01.454,10001,400,300,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort_no-period-h_sigm-4,8801,0.063856606,0.127892246,0,0,-61.28273452,-0.191748853,0,-61.09098567
2021-06-26T12:49:58.561,10001,400,300,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort_no-period-h_sigm-4,10001,0,1.101105657,0,0,-66.38229771,-1.101105657,0,-65.28119205
2021-06-26T12:40:07.032,10001,300,600,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort_no-period-h_sigm-4,9601,5.257406349,7.50475399,0,0,-93.80462498,-12.76216034,0,-81.04246464
2021-06-26T12:40:03.571,10001,300,600,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort_no-period-h_sigm-4,10001,0,312.3080084,31.80166715,0,-431.8588778,-344.1096756,0,-87.74920219
2021-06-26T12:31:26.388,10001,300,600,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort_no-period-h_sigm-4,10001,0,0,0,0,57.24431571,0,0,57.24431571
2021-06-26T12:31:23.767,10001,300,600,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort_no-period-h_sigm-4,10001,0,0,0,0,57.24431571,0,0,57.24431571
2021-06-26T09:50:58.761,4001,300,600,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort_no-period-h,3701,0,0,0,0,62.54598026,0,0,62.54598026
2021-06-26T09:50:55.879,4001,300,600,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort_no-period-h,4001,0,0,0,0,62.64650589,0,0,62.64650589
2021-06-26T09:47:23.023,4001,400,300,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort_no-period-h,3301,0,0,0,0,57.37911291,0,0,57.37911291
2021-06-26T09:47:20.168,4001,400,300,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort_no-period-h,4001,0,0,0,0,56.13772251,0,0,56.13772251
2021-06-26T09:46:43.689,4001,400,300,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort_no-period-h,3601,0.240016883,0.296397609,0,0,-81.30298687,-0.536414492,0,-80.76657238
2021-06-26T09:46:40.881,4001,400,300,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort_no-period-h,4001,0,0,0,0,-88.00286166,0,0,-88.00286166
2021-06-26T09:46:11.399,4001,300,600,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort_no-period-h,4001,0,0.002725242,0,0,-74.51230463,-0.002725242,0,-74.50957939
2021-06-26T09:46:08.542,4001,300,600,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort_no-period-h,4001,0,0.002725242,0,0,-74.51230463,-0.002725242,0,-74.50957939
2021-06-26T00:51:12.956,4001,300,600,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort_no-period-h_comf2,4001,0,0,0,0,57.84542589,0,0,57.84542589
2021-06-26T00:51:10.074,4001,300,600,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort_no-period-h_comf2,4001,0,0,0,0,57.84542589,0,0,57.84542589
2021-06-26T00:50:59.048,4001,400,300,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort_no-period-h_comf2,3201,0,0,0,0,57.24577602,0,0,57.24577602
2021-06-26T00:50:56.228,4001,400,300,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort_no-period-h_comf2,4001,0,0,0,1.06819901,54.93212864,-2.13639802,0,57.06852666
2021-06-26T00:48:21.363,4001,400,300,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort_no-period-h_comf2,3301,1.021237945,10.70041808,0,0,-107.8546658,-23.44331205,0,-84.41135375
2021-06-26T00:48:18.507,4001,400,300,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort_no-period-h_comf2,4001,28.73012018,11.64616175,0,0,-146.1765243,-80.75256386,0,-65.42396044
2021-06-26T00:45:25.088,4001,300,600,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort_no-period-h_comf2,4001,40.43793295,5.113981108,0,0,-176.3106074,-91.10382813,0,-85.20677927
2021-06-26T00:45:22.182,4001,300,600,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort_no-period-h_comf2,4001,40.43793295,5.113981108,0,0,-176.3106074,-91.10382813,0,-85.20677927
2021-06-25T21:31:53.076,10001,300,600,64,24000,24000,all,eval,all_no-L2_nns_ou.5_abort_no-period-h,7801,1.817644048,9.559287597,0,0,37.54958351,-11.37693164,0,48.92651515
2021-06-25T21:31:48.486,10001,300,600,64,24000,24000,all,eval,all_no-L2_nns_ou.5_abort_no-period-h,10001,0,0,0,0,-2.276506791,0,0,-2.276506791
2021-06-25T21:27:12.901,10001,400,300,64,24000,24000,all,eval,all_no-L2_nns_ou.5_abort_no-period-h,9701,0,0.931686729,0,0,24.33694975,-0.931686729,0,25.26863648
2021-06-25T21:27:08.291,10001,400,300,64,24000,24000,all,eval,all_no-L2_nns_ou.5_abort_no-period-h,10001,17.42319983,0,0,1.857669741,7.621458086,-19.28086957,0,26.90232766
2021-06-25T19:19:05.855,10001,400,300,64,24000,24000,both,eval,both_no-L2_nns_ou.5_abort_no-period-h,9301,0.08788751,0,0,0.187283933,-6.412606045,-0.275171443,0,-6.137434602
2021-06-25T19:19:02.38,10001,400,300,64,24000,24000,both,eval,both_no-L2_nns_ou.5_abort_no-period-h,10001,0,0,0,0,-14.65899586,0,0,-14.65899586
2021-06-25T19:16:49.342,10001,300,600,64,24000,24000,both,eval,both_no-L2_nns_ou.5_abort_no-period-h,4701,0.854509362,0,0,0,-2.997830837,-0.854509362,0,-2.143321475
2021-06-25T19:16:45.843,10001,300,600,64,24000,24000,both,eval,both_no-L2_nns_ou.5_abort_no-period-h,10001,0,3.792058501,0,0,-17.85670315,-3.792058501,0,-14.06464465
2021-06-25T18:08:27.449,10001,400,300,64,24000,24000,both,test,both_no-L2_nns_ou.5_abort,9001,9.732062127,3.871872352,0,3.307732663,-52.27810468,-16.91166714,0,-35.36643754
2021-06-25T18:08:22.931,10001,400,300,64,24000,24000,both,test,both_no-L2_nns_ou.5_abort,10001,0,31.37422482,0,0,-124.8972094,-31.37422482,0,-93.52298458
2021-06-25T17:38:36.273,10001,400,300,64,24000,24000,summer,test,summer_no-L2_nns_ou.5_abort_no-period-h,3101,0,0,0,0,127.8120239,0,0,127.8120239
2021-06-25T17:38:32.523,10001,400,300,64,24000,24000,summer,test,summer_no-L2_nns_ou.5_abort_no-period-h,10001,0,0,0,0,115.8265375,0,0,115.8265375
2021-06-25T17:38:23.483,10001,400,300,64,24000,24000,winter,test,winter_no-L2_nns_ou.5_abort_no-period-h,8001,0.071600477,0.0672398,0,6.957354132,-166.9124343,-7.096194409,0,-159.8162399
2021-06-25T17:38:19.782,10001,400,300,64,24000,24000,winter,test,winter_no-L2_nns_ou.5_abort_no-period-h,10001,0,0.562100147,33.86979638,0,-211.1238385,-34.43189653,0,-176.691942
2021-06-25T17:38:03.518,10001,300,600,64,24000,24000,winter,test,winter_no-L2_nns_ou.5_abort_no-period-h,9001,0,14.83114209,0,7.320159368,-175.8348771,-22.15130146,0,-153.6835756
2021-06-25T17:37:59.888,10001,300,600,64,24000,24000,winter,test,winter_no-L2_nns_ou.5_abort_no-period-h,10001,6.662306245,0,0,0,-158.266091,-6.662306245,0,-151.6037848
2021-06-25T17:37:51.167,10001,300,600,64,24000,24000,summer,test,summer_no-L2_nns_ou.5_abort_no-period-h,6301,0,0,0,0,127.413962,0,0,127.413962
2021-06-25T17:37:47.623,10001,300,600,64,24000,24000,summer,test,summer_no-L2_nns_ou.5_abort_no-period-h,10001,0,0,0,0,110.9208696,0,0,110.9208696
2021-06-25T17:34:34.565,10001,400,300,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort_no-period-h,8001,0,0,0,0,-61.54313216,0,0,-61.54313216
2021-06-25T17:34:31.307,10001,400,300,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort_no-period-h,10001,0.091336304,2.873868651,0,0,-75.13095569,-2.965204955,0,-72.16575074
2021-06-25T17:34:22.864,10001,400,300,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort_no-period-h,3101,0,0,0,0,65.9021051,0,0,65.9021051
2021-06-25T17:34:19.802,10001,400,300,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort_no-period-h,10001,0,0,0,0,60.5482658,0,0,60.5482658
2021-06-25T17:34:04.851,10001,300,600,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort_no-period-h,6301,0,0,0,0,65.5065095,0,0,65.5065095
2021-06-25T17:34:01.745,10001,300,600,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort_no-period-h,10001,0,0,0,0,57.63560647,0,0,57.63560647
2021-06-25T17:33:43.913,10001,300,600,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort_no-period-h,9001,0,0,0,0,-57.37103832,0,0,-57.37103832
2021-06-25T17:33:40.828,10001,300,600,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort_no-period-h,10001,1.945609967,0,0,0,-62.91472043,-1.945609967,0,-60.96911046
2021-06-25T17:19:07.84,10001,300,600,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort_no-period-h,9001,0,0,0,0,-56.92141573,0,0,-56.92141573
2021-06-25T17:19:04.991,10001,300,600,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort_no-period-h,10001,0.434025595,0.873751196,0,0,-62.47087834,-1.307776791,0,-61.16310155
2021-06-25T17:17:10.893,10001,400,300,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort_no-period-h,8001,0,0,0,0,-61.47799771,0,0,-61.47799771
2021-06-25T17:17:08.018,10001,400,300,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort_no-period-h,10001,0.002331478,3.699012123,0,0,-75.84837885,-3.701343601,0,-72.14703525
2021-06-25T17:15:17.795,10001,300,600,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort_no-period-h,6301,0,0,0,0,65.43618524,0,0,65.43618524
2021-06-25T17:15:14.736,10001,300,600,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort_no-period-h,10001,0,0,0,0,57.64627242,0,0,57.64627242
2021-06-25T17:12:11.176,10001,400,300,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort_no-period-h,3101,0,0,0,0,65.90183214,0,0,65.90183214
2021-06-25T17:12:08.319,10001,400,300,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort_no-period-h,10001,0,0,0,0,60.54749604,0,0,60.54749604
2021-06-25T15:30:04.737,10001,300,600,64,24000,24000,both,test,both_no-L2_nns_ou.5_abort,7901,7.005825736,17.04483634,0,0,-67.95158433,-24.05066208,0,-43.90092225
2021-06-25T15:30:01.82,10001,300,600,64,24000,24000,both,test,both_no-L2_nns_ou.5_abort,10001,799.1698383,0.798494892,107.1566459,0,-942.4599557,-907.1249792,0,-35.3349765
2021-06-25T14:30:57.299,10001,400,300,64,24000,24000,both,test,both_no-L2_nns_ou.5_abort,-1,4.49E-08,0,0,0,-24.69093444,-4.49E-08,0,-24.6909344
2021-06-25T14:25:53.672,20001,400,300,64,24000,24000,summer,test,summer_no-L2_nns_ou.5_abort,-1,0,0,0,0,129.936956,0,0,129.936956
2021-06-25T14:25:41.153,20001,400,300,64,24000,24000,summer,test,summer_no-L2_nns_ou.5_abort,8901,0,0,0,0,124.295218,0,0,124.295218
2021-06-25T14:25:37.509,20001,400,300,64,24000,24000,summer,test,summer_no-L2_nns_ou.5_abort,20001,0,0,0,4.885156021,115.5930786,-4.885156021,0,120.4782346
2021-06-25T14:25:23.844,20001,300,600,64,24000,24000,summer,test,summer_no-L2_nns_ou.5_abort,10201,0,0,0,0,120.4931587,0,0,120.4931587
2021-06-25T14:25:20.112,20001,300,600,64,24000,24000,summer,test,summer_no-L2_nns_ou.5_abort,20001,0,0,0,96.41212563,-92.79855501,-96.41212563,0,3.61357062
2021-06-25T14:24:31.249,20001,300,600,64,24000,24000,winter,test,winter_no-L2_nns_ou.5_abort,5901,1.392464103,13.03098754,0,1.30982835,-158.1964252,-15.73328,0,-142.4631452
2021-06-25T14:24:28.042,20001,300,600,64,24000,24000,winter,test,winter_no-L2_nns_ou.5_abort,20001,16.95562703,41.96627303,47.69330615,0,-253.4316367,-106.6152062,0,-146.8164305
2021-06-25T14:20:32.765,20001,400,300,64,24000,24000,winter,test,winter_no-L2_nns_ou.5_abort,18501,0,9.053455675,21.38039848,0,-96.47033589,-30.43385415,0,-66.03648174
2021-06-25T14:20:29.979,20001,400,300,64,24000,24000,winter,test,winter_no-L2_nns_ou.5_abort,20001,5.800358949,0.214632285,0,14.79579756,-174.0429387,-20.81078879,0,-153.2321499
2021-06-25T14:11:46.001,10001,400,300,64,24000,24000,winter,test,winter_no-L2_nns_ou.5_abort,-1,2.19E-08,0,0,0,-153.5406302,-2.19E-08,0,-153.5406302
2021-06-25T14:07:18.894,10001,400,300,64,24000,24000,all,test,all_no-L2_nns_ou.5_abort,-1,1.221769745,0,0,0,92.17870588,-1.221769745,0,93.40047563
2021-06-24T21:27:39.208,20001,300,600,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort,5901,0,2.551878569,0,0,-55.9601415,-2.551878569,0,-53.40826293
2021-06-24T21:27:36.432,20001,300,600,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort,20001,25.45908958,3.341394409,63.90788506,0,-127.7568269,-92.70836905,0,-35.04845785
2021-06-24T21:25:26.049,20001,400,300,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort,18501,0,1.455482405,0,0,-58.40089395,-1.455482405,0,-56.94541155
2021-06-24T21:25:23.327,20001,400,300,64,24000,24000,winter,eval,winter_no-L2_nns_ou.5_abort,20001,9.32405444,0,0,6.665095221,-76.5290546,-15.98914966,0,-60.53990494
2021-06-24T21:15:37.518,20001,400,300,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort,8901,0,0,0,0,64.18106283,0,0,64.18106283
2021-06-24T21:15:34.799,20001,400,300,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort,20001,0,0,0,0,58.1454193,0,0,58.1454193
2021-06-24T20:55:28.989,20001,300,600,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort,10201,0,0,0,0,62.19128417,0,0,62.19128417
2021-06-24T20:55:26.14,20001,300,600,64,24000,24000,summer,eval,summer_no-L2_nns_ou.5_abort,20001,47.92099544,0,0,131.9739462,-159.773918,-179.8949416,0,20.1210236
2021-06-24T19:35:22.693,10001,300,600,128,24000,24000,summer,eval,summer_no-L2_ns-ou.5_abort,8501,0,0,0,0,66.01006648,0,0,66.01006648
2021-06-24T19:35:20.371,10001,300,600,128,24000,24000,summer,eval,summer_no-L2_ns-ou.5_abort,10001,0,0,0,0,59.56103299,0,0,59.56103299
2021-06-24T19:01:04.624,10001,300,600,128,24000,24000,all,eval,all_no-L2_ns-ou.5_abort,7901,1.436977151,8.065583936,0,0,43.47121868,-9.502561087,0,52.97377977
2021-06-24T19:01:00.369,10001,300,600,128,24000,24000,all,eval,all_no-L2_ns-ou.5_abort,10001,3.957957195,3.561094705,52.82003848,0,-16.66407494,-60.33909038,0,43.67501544
2021-06-24T18:59:52.006,10001,400,300,128,24000,24000,all,eval,all_no-L2_ns-ou.5_abort,9601,0,0.421406787,0,0,38.16485291,-0.421406787,0,38.5862597
2021-06-24T18:59:47.812,10001,400,300,128,24000,24000,all,eval,all_no-L2_ns-ou.5_abort,10001,5.059891704,0,572.1526026,0,-552.9469217,-577.2124943,0,24.2655726
